Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2023
Contains Synopsys proprietary information.
Compiler version V-2023.12-SP2_Full64; Runtime version V-2023.12-SP2_Full64;  May  3 12:02 2026
[1246000] PASS  (default_seed_reg): value=0x00000001
[2454000] PASS  (default_window_reg): value=0x00000014
[3662000] PASS  (default_sticky_status): value=0x00000000
[5694000] PASS  (ctrl_case2_readback): value=0x00000001
[7726000] PASS  (seed_case2_readback): value=0x00000056
[9758000] PASS  (window_case2_readback): value=0x00000014
[12722000] PASS  (prbs7_internal_no_error_errcnt): value=0x00000000
[13930000] PASS  (prbs7_internal_no_error_totcnt): value=0x00000014
[15138000] PASS  (status_after_prbs7_internal): STATUS=0x00000082
[16346000] PASS  (dbg_after_prbs7_pass_last_errcnt): value=0x00000000
[17554000] PASS  (dbg_after_prbs7_pass_last_totcnt): value=0x00000014
[18762000] PASS  (dbg_after_prbs7_pass_run_count): value=0x00000001
[19970000] PASS  (dbg_after_prbs7_pass_pass_count): value=0x00000001
[21178000] PASS  (dbg_after_prbs7_pass_fail_count): value=0x00000000
[22386000] PASS  (dbg_after_prbs7_pass_sticky_status): value=0x00000001
[24434000] PASS  (manual_clear_errcnt): value=0x00000000
[25642000] PASS  (manual_clear_totcnt): value=0x00000000
[26850000] PASS  (dbg_after_manual_clear_last_errcnt): value=0x00000000
[28058000] PASS  (dbg_after_manual_clear_last_totcnt): value=0x00000000
[29266000] PASS  (dbg_after_manual_clear_run_count): value=0x00000000
[30474000] PASS  (dbg_after_manual_clear_pass_count): value=0x00000000
[31682000] PASS  (dbg_after_manual_clear_fail_count): value=0x00000000
[32890000] PASS  (dbg_after_manual_clear_sticky_status): value=0x00000000
[34922000] PASS  (ctrl_case4_readback): value=0x00000009
[36954000] PASS  (seed_case4_readback): value=0x00000056
[39918000] PASS  (prbs7_internal_inject_error_errcnt): value=0x00000014
[41126000] PASS  (prbs7_internal_inject_error_totcnt): value=0x00000014
[42334000] PASS  (prbs7_internal_inject_first_err_idx): value=0x00000000
[43542000] PASS  (dbg_after_prbs7_fail_last_errcnt): value=0x00000014
[44750000] PASS  (dbg_after_prbs7_fail_last_totcnt): value=0x00000014
[45958000] PASS  (dbg_after_prbs7_fail_run_count): value=0x00000001
[47166000] PASS  (dbg_after_prbs7_fail_pass_count): value=0x00000000
[48374000] PASS  (dbg_after_prbs7_fail_fail_count): value=0x00000001
